emp_no,first_name,last_name,to_date,title
10001,Georgi,Facello,9999-01-01,Senior Engineer
10004,Chirstian,Koblick,9999-01-01,Senior Engineer
10009,Sumant,Peac,9999-01-01,Senior Engineer
10018,Kazuhide,Peha,9999-01-01,Senior Engineer
10035,Alain,Chappelet,9999-01-01,Senior Engineer
10053,Sanjiv,Zschoche,9999-01-01,Senior Staff
10058,Berhard,McFarlin,9999-01-01,Senior Staff
10066,Kwee,Schusler,9999-01-01,Senior Engineer
10067,Claudi,Stavenow,9999-01-01,Senior Engineer
10070,Reuven,Garigliano,9999-01-01,Technique Leader
10072,Hironoby,Sidou,9999-01-01,Senior Engineer
10076,Erez,Ritzmann,9999-01-01,Senior Engineer
10088,Jungsoon,Syrzycki,9999-01-01,Senior Staff
10100,Hironobu,Haraldson,9999-01-01,Senior Staff
10103,Akemi,Birch,9999-01-01,Engineer
10126,Kayoko,Valtorta,9999-01-01,Senior Staff
10129,Armond,Peir,9999-01-01,Technique Leader
10130,Nishit,Casperson,9999-01-01,Senior Engineer
10134,Diederik,Siprelle,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,9999-01-01,Senior Engineer
10150,Zhenbing,Perng,9999-01-01,Senior Engineer
10153,Heekeun,Majewski,9999-01-01,Assistant Engineer
10157,Nigel,Aloisi,9999-01-01,Senior Engineer
10198,Pranav,Furedi,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,9999-01-01,Senior Staff
10224,Leon,Trogemann,9999-01-01,Senior Engineer
10233,Lein,Vendrig,9999-01-01,Senior Staff
10258,Basil,Ishibashi,9999-01-01,Senior Engineer
10272,Yishai,Cannane,9999-01-01,Staff
10282,Hercules,Benzmuller,9999-01-01,Engineer
10283,Kauko,Birjandi,9999-01-01,Senior Engineer
10326,Masali,Czap,9999-01-01,Staff
10340,Djelloul,Laventhal,9999-01-01,Senior Staff
10347,Pradeep,Kaminger,9999-01-01,Staff
10355,Satyanarayana,Cochrane,9999-01-01,Staff
10356,Vasilis,Standera,9999-01-01,Senior Staff
